city,three_year_pct_growth,employee_growth,num_employees,industry,rank,revenue_2007,founded,state,link,revenue_2010,industry_rank,blurb,company_name
Indianapolis,2795,95,105,Government Services,91,560913.0,2005,IN,http://www.KPaul.com,16200000.0,12,"Sells IT products and services, office products and furniture, hardware, and medical supplies to governments, schools, universities, and commercial businesses.",KPaul
Irvine,2835,40,45,Advertising & Marketing,89,106154.0,2001,CA,http://www.eGumBall.com,3100000.0,12,"Provides local Internet marketing for its clients nationwide through website development, search engine marketing, search engine optimization.",eGumBall
Canton,2750,2,5,Business Products & Services,92,119756.0,2007,GA,http://www.ClassroomEssentialsOnline.com,3400000.0,5,"Offers church chairs, school and nursery furniture, folding tables and chairs, and banquet furniture to organizations and institutions around the country.",Classroom Essentials Online
Orangevale,2799,12,14,IT Services,90,163117.0,2006,CA,http://www.lcs-technologies-inc.com,4700000.0,5,"An IT provider that specializes in Oracle-related services, custom development, database administration, and infrastructure tuning.",LCS Technologies
Easton,2856,21,24,Government Services,88,197461.0,2007,MD,http://www.WhiteOak-Group.com,5800000.0,11,"Specializes in planning, designing, implementing, and integrating technology systems, mostly for government customers such as the Defense, Energy, Justice, and State Departments.",WhiteOak Group
Atlanta,2861,20,35,Travel,87,573000.0,2001,GA,http://www.sixthman.net,17000000.0,1,"Designs theme cruises with an emphasis on celebrating the communities around pop musicians and their fans. Upcoming cruises include Kid Rock's Chillin' the Most Cruise, the Kiss Kruise, and the Turner Classic Movies Cruise.",Sixthman
Houston,2868,84,93,Health,86,618680.0,2005,TX,http://www.SightLineHealth.com,18400000.0,4,"Develops and manages radiation oncology centers around the country, focusing on high-end facilities with the latest equipment. The company maintains affiliations with world-class medical experts.",SightLine Health
North Miami Beach,2921,11,15,Consumer Products & Services,83,626436.0,2006,FL,http://www.EasyExport.us,18900000.0,8,"Auctions off cars, motorcycles, and boats to dealerships and individuals. The vehicles are up for resale through repossession, damage, or lease expiration.",ING Solutions
Hallandale,2924,37,43,Consumer Products & Services,82,193274.0,2007,FL,http://www.WaxCenter.com,5800000.0,7,A franchise of 197 nationwide locations that offer waxing services for women and men.,European Wax Center
Santa Ana,2910,97,107,Advertising & Marketing,84,223402.0,2004,CA,http://www.LocalSplash.com,6700000.0,11,"Search engine marketing company that gets its clients high rankings on local search sites like Google, Yahoo!, Merchant Circle, Yelp, and many others. Its proprietary technology especially benefits businesses that target customers by geographic area. Clients range from local businesses to large national chains such as Extra Space Storage.",Local Splash
Meridian,2904,655,740,Consumer Products & Services,85,12700000.0,2004,ID,http://www.scentsy.com,381800000.0,9,"Sells wickless, flameless, scented candles housed in decorative ceramic warmers through independent sales consultants at home parties and catalog or basket parties, as well as online.",Scentsy
Irving,2948,55,80,IT Services,80,238660.0,2006,TX,http://www.Saxon-Global.com,7300000.0,4,"Offers IT consulting and staffing to organizations in government, health care, retail, and communications.",Saxon-Global
Henderson,2984,26,49,Energy,79,178943.0,2006,NV,http://www.k2battery.com,5500000.0,6,Makes and sells rechargeable battery systems for electric vehicles and energy storage applications. The batteries lithium iron phosphate cathode material makes them inherently safe and low-cost.,K2 Energy Solutions
San Diego,3446,15,24,Software,63,125000.0,2007,CA,http://www.BlackMountainSystems.com,4400000.0,8,"Develops software used for credit analysis, portfolio management and reporting, and compliance by institutional investors in high-yield loans, bonds, and alternative investments. Clients include hedge funds, private equity firms, investment managers, and banks.",Black Mountain Systems
Reston,3450,67,79,Software,62,192006.0,2006,VA,http://www.AppAssure.com,6800000.0,7,"Makes backup and disaster recovery software that is designed not only to recover data, but also to protect the clients' entire application infrastructures and ensure rapid recovery in the event of system failures.",AppAssure Software
Wilmington,3458,85,125,Insurance,61,214811.0,2007,NC,http://www.HomeInsurance.com,7600000.0,2,"An insurance shopping website offering comparative online rates for homeowners. In its most recent acquisition, HomeInsurance.com acquired HomeownersInsurance.com in an all-cash deal last fall.",HomeInsurance.com
Denver,3467,368,379,Software,60,235101.0,2002,CO,http://www.RivetSoftware.com,8400000.0,6,"Designs software to assist CFOs, controllers, and accounting professionals with the collection, analysis, dissemination, reporting, filing, and compliance of internal and external financial information.",Rivet Software
San Jose,3786,135,210,Computer Hardware,54,1400000.0,2004,CA,http://www.A10networks.com,55100000.0,1,"Makes high-performance server appliances designed to help organizations of all sizes with security, speed, and performance. A10 Networks develops server load-balancing hardware especially for enterprise application delivery, carrier and Internet service providers, and cloud computing and virtualization entities.",A10 Networks
Lake Mary,3544,20,25,Security,59,256973.0,2000,FL,http://www.ForegroundSecurity.com,9400000.0,1,"Specializes in providing information security through consulting, training, and services to government agencies and private sector organizations.",Foreground Security
San Diego,3714,46,48,Government Services,57,232350.0,2004,CA,http://www.CaskLLC.com,8900000.0,9,"Offers enterprise strategy, acquisition and development management, and technology and engineering services, mostly to government customers such as the Marine Corps, Navy, and U.S. Forest Service.",Cask
Kirkland,3727,57,58,Advertising & Marketing,56,299830.0,2006,WA,http://www.SimplicityConsultingInc.com,11500000.0,6,Provides outsourced marketing services to high-tech companies such as Microsoft and Amazon.,Simplicity Consulting
Santa Barbara,3851,15,20,Software,53,925864.0,2005,CA,http://www.FastSpring.com,36600000.0,5,"Its software streamlines e-commerce for merchants of downloadable products such as software, games, and e-books. The company also offers customized, hosted order pages that integrate with its customers' existing websites and design.",FastSpring
Gilbert,3884,8,10,Logistics & Transportation,51,150000.0,2006,AZ,http://www.ShipAG.com,6000000.0,2,"Handles all types of freight shipping servicesair, ocean, rail, and truckload and less than truckloadfor small to midsize businesses.",American Group
Philadelphia,3932,7,9,Advertising & Marketing,48,143636.0,2007,PA,http://www.leadnomics.com,5800000.0,5,"An online marketing company that generates leads for financial institutions, online schools, and insurance companies.",Leadnomics
Chicago,4156,25,27,Financial Services,47,107239.0,2007,IL,http://www.braintreepayments.com,4600000.0,6,Offers an online platform for merchant payment processing.,Braintree
Washington,4317,39,40,Government Services,45,150000.0,2005,DC,http://www.JMA-Solutions.com,6600000.0,7,"Provides air traffic control and engineering support to the FAA to help make the airways secure, efficient, and convenient for the ever-increasing traveling public. It authors the National Aviation Research Program document that is provided annually to Congress, and provides engineering support to the Unmanned Aerial Vehicle System at the Kennedy Space Center.",JMA Solutions
COTATI,3920,7,10,Manufacturing,49,1000000.0,1999,CA,http://www.KGtechnologies.net,40700000.0,2,Designs and manufactures latching relays that allow its customers to manage their energy loads more effectively through remote disconnect/reconnect capabilities.,KG Technologies
Asheville,4303,56,61,Energy,46,399000.0,2006,NC,http://www.FLSEnergy.com,17600000.0,5,"Offers solar energy engineering, installation, and financing for utility-scale solar thermal and photovoltaic energy systems.",FLS Energy
Boston,3893,1,5,Software,50,313342.0,2005,MA,http://www.intelligent-isi.com,12500000.0,4,"Develops software products that manage, analyze, and clean large volumes of data in faster and more cost-effective ways. Its two application software packagesThe Geospatial Toolkit and The Extended SQL Toolkitcurrently run on the Netezza NPS data warehousing appliance, enabling key applications to run 10 to 100 times faster.",Intelligent Integration Systems
Parker,4526,92,102,Media,41,783628.0,2006,CO,http://www.GoLiveMobile.com,36300000.0,1,"Creates and packages content, including videos, games, and social media, for consumers to access on their mobile phones. It also provides consulting services to businesses that want to create and market their own mobile content.",GoLive! Mobile
Bronx,4493,12,18,Energy,42,200330.0,2006,NY,http://www.OnForceSolar.com,9200000.0,4,"Designs and installs commercial and residential solar energy systems for customers in New York, New Jersey, and Connecticut.",OnForce Solar
McLean,4460,45,47,Government Services,44,268331.0,2006,VA,http://www.ConsultWithIntegrity.com,12200000.0,6,"Offers acquisition management, capital planning and investment control, performance management, and program management to clients such as Medicare and Medicaid, and the departments of Transportation and Homeland Security.",Integrity Management Consulting
Tampa,3759,22,25,Government Services,55,574979.0,2002,FL,http://www.CybrixGroup.com,22200000.0,8,"Offers a wide range of IT services, including data security, managed networks, network maintenance, and systems integration and consulting, for customers such as IBM, the Navy, and the U.S. Special Operations Command. The Cybrix Group teams up with Cell Phones for Soldiers, setting up drop-off points for men and women serving overseas to bring their old cell phones, which are sold to refurbishing companies. The money collected is used to buy calling cards for the soldiers.",The Cybrix Group
Torrance,4461,22,25,Advertising & Marketing,43,269546.0,2005,CA,http://www.SwagBucks.com,12300000.0,4,"Offers ""virtual currency"" to its users, in exchange for their registration, every time they search, purchase, play games, and share opinions online.",Prodege
Indianapolis,3597,44,54,Advertising & Marketing,58,128700.0,2006,IN,http://www.SlingshotSEO.com,4800000.0,7,A search engine optimization agency that helps its customers increase sales through various Web search strategies.,Slingshot SEO
Bellevue,1535,53,58,Business Products & Services,201,763518.0,2003,WA,http://www.VegaConsultingLLC.com,12500000.0,13,"A business consultancy that offers project management, strategy, market research, and related services. Its customers are primarily technology companies focused on software, Internet, and online media.",Vega Consulting
Jacksonville,1535,31,33,Logistics & Transportation,200,150969.0,2006,FL,http://www.sns-logistics.com,2500000.0,3,"Offers warehousing, freight consolidation and management, cartage, distribution, and long- and short-term storage to retailers in the Southeast and Midwest.",SNS Logistics
West Columbia,1536,24,27,Consumer Products & Services,199,155421.0,1998,SC,http://www.WilliamsStrength.com,2500000.0,17,"Manufactures athletic training and weight equipment for colleges and high schools. Its Prowler, a weighted platform than can be pushed, pulled, or dragged, was featured on NBC's The Biggest Loser.",Williams Strength
Jacksonville,1539,78,97,Government Services,198,833199.0,2003,FL,http://www.B3Solutions.com,13700000.0,22,"Offers IT services, program management, supply chain management and logistics, acquisition management, and financial management to government customers such as the FAA and FEMA.",B3 Solutions
Reston,1547,21,25,Government Services,197,330137.0,2007,VA,http://www.Rehancement.com,5400000.0,21,"Provides management and consulting services to the federal government and commercial clients. Real property, energy security, supply chain management, and cost management services are examples of its expertise.",The Rehancement Group
Sarasota,1556,64,78,Telecommunications,195,653943.0,2005,FL,http://www.star2star.com,10800000.0,4,"Offers StarSolution, a fully integrated and managed cloud-based voice communications system. In 2010, Star2Star Communications acquired the BridgeWorks Customer Communication Management software from BridgeFive Solutions.",Star2Star Communications
Potomac,1564,40,46,Real Estate,194,864557.0,1997,MD,http://www.innotion.com,14400000.0,5,"Provides technology, management, and marketing services to support asset managers in the REO industry.",Innotion Enterprises
Eatontown,1569,34,40,Advertising & Marketing,192,134549.0,2006,NJ,http://www.PCGDigitalMarketing.com,2200000.0,31,"Provides Internet marketing and advertising for auto dealerships, restaurants, and other commercial clients.",PCG Digital Marketing
Chicago,3874,37,40,Construction,52,218835.0,1999,IL,http://www.MZIgroup.com,8700000.0,1,"Offers general construction, design-build, construction management, and electrical and mechanical systems installation for diverse clients, including educational institutions, airports, hospitals, hotels, and state and city governments.",MZI Group
Lakewood,1578,8,12,Food & Beverage,191,586138.0,2006,CO,http://www.tradavo.com,9800000.0,6,"A wholesale supplier of snacks, beverages, frozen foods, and sundries to special market retailers such as hotels and resorts, campgrounds, community pharmacies, and college bookstores.",Tradavo
Austin,1579,38,43,Insurance,190,121636.0,2006,TX,http://www.medigap360.com,2000000.0,5,"A health insurance brokerage that provides online, agent-assisted comparison shopping of Medicare Supplement providers.",Medigap360
Boynton Beach,1595,12,16,Advertising & Marketing,189,129698.0,2007,FL,http://www.CityAdvertising.com,2200000.0,30,"An online advertiser that operates several online business referral networks, including FuneralHomes.com, BankruptcyAttorneys.net, and PoolCleaning.com.",City Advertising
Leesburg,1658,20,25,Advertising & Marketing,183,336369.0,2007,FL,http://www.ThatCompany.com,5900000.0,29,Provides mixed media marketing by combining traditional advertising methods with online marketing. Its brands include SEOCompany.com and CalltraxPlus.com.,That! Company
Raleigh,1633,16,19,Financial Services,185,437442.0,2005,NC,http://www.ez-recovery.com,7600000.0,14,"An asset recovery firm that provides software used for asset auditing, tracking, and liquidation. It also employs a nationwide network of agents who repossess vehicles and other assets for client banks.",Consolidated Asset Recovery Systems
Shelton,1602,25,45,Insurance,188,381000.0,2005,CT,http://www.HealthPlanOne.com,6500000.0,4,"A health insurance agency, licensed in all 50 states, focused on individual and family health insurance plans, as well as Medicare Advantage, Medicare Supplement, and dental plans.",Health Plan One
Brooklyn,1654,12,15,Business Products & Services,184,218000.0,2006,NY,http://www.urbanop.com,3800000.0,12,"Office furniture and services provider. Its clients are primarily other businesses, located throughout the US. The company offers new, used, and refurbished office furniture, and its services include everything from upholstery and custom millwork to project management and office design and planning. It also offers office, janitorial, and break-room supplies, as well as coffee.",Urban Office Products
Fort Washington,1669,24,27,IT Services,182,193935.0,2007,PA,http://www.magichatconsulting.com,3400000.0,15,"A niche IT consultancy offering business process improvement, requirements management, and program and project management services to midsize companies and major corporations on a project basis or through IT staffing services.",Magic Hat Consulting
Scottsdale,1693,9,13,Advertising & Marketing,179,574800.0,2005,AZ,http://www.BlueGlobalMedia.com,10300000.0,28,Offers performance marketing services for advertisers and publishers.,Blue Global Media
Chicago,1694,3,5,Health,178,115354.0,2005,IL,http://www.BursUSA.com,2100000.0,13,Manufactures and distributes dental supplies.,Dental Burs USA
Great Falls,1699,35,43,Software,177,1000000.0,2004,VA,http://www.epcSolutions.com,18200000.0,19,"Makes RFID (radio frequency identification device) compliance software for users such as the Department of Defense and large retailers like Walmart and Sam's Club. The supply chain management platform allows for management of all types of assets in a typical organization: work in process, inventory, fixed assets, and people.",epcSolutions
Rockville,1548,18,24,Energy,196,143907.0,2005,MD,http://www.CleanCurrents.com,2400000.0,9,A green energy company offering wind power at competitive rates to households and businesses. Customers include Honest Tea and Busboys and Poets.,Clean Currents
McLean,1566,9,11,Government Services,193,598530.0,2007,VA,http://www.LinkVisum.com,10000000.0,20,"Provides management consulting services to government agencies and private industry. Its expertise includes department restructuring, process streamlining, business improvement applications, workforce management, IT, and transformation and change management.",LinkVisum Consulting Group
Huntsville,1086,11,15,Government Services,301,249820.0,2006,AL,http://www.DavisDSI.com,3000000.0,35,"Provides expertise in engineering, weapons of mass destruction and bioterrorism issues, agrosecurity, combatant command support, design and execution of exercises and wargames, and training to government customers in aerospace, defense, and homeland security.",Davis Strategic Innovations
Scottsdale,1087,35,45,Health,300,979716.0,2002,AZ,http://www.GlobalMedia.com,11600000.0,21,"Designs, manufactures, and markets telemedicine products, such as imaging and videoconferencing equipment, used by pathologists, dermatologists, pediatricians, neurologists, surgeons, pharmacists, and other caregivers.",GlobalMedia Group
Thermal,1102,9,10,Logistics & Transportation,296,174726.0,2007,CA,http://www.DesertJet.com,2100000.0,5,Makes use of underutilized corporate aircraft to provide luxury chartered jet services for individuals and corporations.,Desert Jet
Glendale,1627,1,17,Health,186,139789.0,1992,CA,http://www.meirxrs.com,2400000.0,14,"A recruitment firm that places professionals in the fields of pharmaceuticals, medical devices, biologics, diagnostics, and biotech.",Med Exec International
El Segundo,1102,9,21,Telecommunications,297,215321.0,2005,CA,http://www.NetworkSolutionsProvider.com,2600000.0,8,"A vendor-neutral telecommunications provider that offers VoIP, DS3, colocation, ethernet, wireless, and telephone systems services.",Network Solutions Provider
Palo Alto,1107,113,125,Software,295,888762.0,2005,CA,http://www.box.net,10700000.0,29,"Provides cloud content management for more than 4 million users and companies, ranging from small businesses to major corporations. Content on Box can be shared internally and externally, accessed through iPad, iPhone and Android applications, and extended to partner applications such as Google Apps, NetSuite and Salesforce.",Box
Galloway,1097,16,19,IT Services,298,897686.0,2003,NJ,http://www.linode.com,10700000.0,24,A cloud hosting provider that offers companies of all sizes virtual servers.,Linode
Pittsburgh,1115,176,269,Health,293,2300000.0,1995,PA,http://www.PrecisionTherapeutics.com,28100000.0,20,"Performs research on the live tissue of cancer patients in order to determine in advance the patients' likely response to various therapies, and enable more individualized guidance on treatment decisions.",Precision Therapeutics
Rockville,1686,74,76,Energy,181,1300000.0,2004,MD,http://www.StandardSolar.com,23000000.0,8,"Develops and integrates solar electricity systems for residential, government, commercial, and education customers. Founder Neville Williams was an early champion of solar energy, working as a Department of Energy media specialist in the Carter Administration. He also founded the Solar Electric Light Fund, through which solar energy was brought to more than a half million rural villagers in Africa and Asia in the 1990s.",Standard Solar
Newtown,1116,14,18,Advertising & Marketing,292,255000.0,2000,CT,http://www.asentra.com,3100000.0,40,Offers marketing services for insurance and telecommunications products.,Asentra
Cedar Rapids,1148,580,880,Business Products & Services,285,1700000.0,2007,IA,http://www.tlcassociates.com,21000000.0,19,"An employee-owned contact center outsourcing company that offers inbound, outbound, e-mail, and Web chat programs for various industries.",Thomas L. Cardella & Associates
New York,1129,6,18,Media,290,380912.0,2003,NY,http://www.OkCupid.com,4700000.0,8,Provides a popular free online dating website.,OkCupid.com
Fishers,851,34,49,Security,401,2000000.0,2002,IN,http://www.Exacq.com,19200000.0,6,"Develops open architecture, video management system solutions for security and surveillance applications.",Exacq Technologies
West Hartford,1147,4,9,Energy,286,1200000.0,1999,CT,http://www.realgy.com,14900000.0,10,"Provides the necessary technology, information, and consulting services to enable its customers to create, present, and close proposals for purchasing natural gas and electricity anywhere in the U.S.",Realgy
Newtown,1137,15,16,Advertising & Marketing,289,329950.0,2007,PA,http://www.RenavatioGroup.com,4100000.0,39,"Supports the early development, prelaunch, launch, and later phases of pharmaceutical and medical product marketing. It develops creative brand concepts, advertising and promotional materials, customer education materials, sales force execution blueprints,and interactive media and videos as well as plans and designs exhibits.",Renavatio Healthcare Communications
Springfield,1142,21,27,Software,288,190315.0,2004,MO,http://www.BriteCore.com,2400000.0,28,"A software development firm that provides BriteCore and BriteQuote, Web-based, enterprise-level software for property/casualty insurance companies.",Intuitive Web Solutions
Baton Rouge,856,13,23,Environmental Services,399,1200000.0,2007,LA,http://www.RESMitigation.com,11300000.0,2,"Restores and preserves environmentally sensitive lands, such as wetlands and coastlines, to facilitate sustainable economic growth in these areas.",Resource Environmental Solutions
Lancaster,859,17,22,Advertising & Marketing,396,345078.0,2007,PA,http://www.SynapseResults.com,3300000.0,48,"Provides direct, print, and digital marketing services such as website development, interactive and integrated marketing campaigns, custom software, and publications.",Synapse Marketing Solutions
Kirkland,857,72,73,Real Estate,398,328133.0,2006,WA,http://www.fairplay.com,3100000.0,11,Provides financing for distressed real estate as well as foreclosure process and property management services.,Fairplay Financial
Philadelphia,857,16,22,Consumer Products & Services,397,219119.0,2003,PA,http://www.TicketLeap.com,2100000.0,25,"An online exchange, integrated with social media, where tickets to concerts, theatre, and sporting events are bought and sold.",TicketLeap
Thiensville,860,41,48,Engineering,395,253724.0,2007,WI,http://www.core-wi.com,2400000.0,2,"Offers outsourced engineering and design, rapid prototyping, technical staffing on a contract and direct hire basis, and 3D CAD modeling software training.",CORE Consulting
New Hope,861,58,101,Media,394,2500000.0,2005,PA,http://www.myYearbook.com,24000000.0,14,"A social network for meeting new people, dating, games, virtual goods, and social applications. myYearbook started in a single high school in 2005 and has grown to more than 25 million members worldwide.",myYearbook
Los Angeles,863,5,10,Business Products & Services,392,704213.0,2004,CA,http://www.closeoutstore.net,6800000.0,29,"Wholesale seller of liquidated, returned, and salvaged merchandise (including toys, clothing, electronics, and cosmetics) to small business customers for resale.",CloseOutStore.net
Franklin,1124,11,13,Government Services,291,327693.0,2005,TN,http://www.ASEDirect.com,4000000.0,34,"Specializes in supplying IT hardware, equipment, and data storage devices to federal government offices and data centers across the U.S. and worldwide.",ASE Direct
Dallas,867,161,238,Energy,390,43200000.0,2006,TX,http://www.AmbitEnergy.com,417700000.0,11,"Ambit Energy was founded in response to Texas' energy deregulation, with a goal to provide better customer service and customer retention. Texas is the largest electricity market in the United States, and the 11th largest worldwide market, falling between Great Britain and Spain in terms of annual consumption.",Ambit Energy
city,three_year_pct_growth,employee_growth,num_employees,industry,rank,revenue_2007,founded,state,link,revenue_2010,industry_rank,blurb,company_name
New York,3135,14,15,IT Services,72,179589.0,2007,NY,http://www.TekScapeIT.com,5800000.0,3,"An IT provider that helps clients with management of remote workforces, integration of mobile devices, data security, and collaboration across multiple locations.",TekScape
Oklahoma City,3068,59,60,Real Estate,75,120000.0,2006,OK,http://www.pointe-vista.com,3800000.0,2,"A planned residential community in development on Lake Texoma in Oklahoma and Texas, with luxury features including a hotel, golf course, convention center, marina, and resort.",Pointe Vista Development
New York,40882,140,145,Retail,1,189510.0,2006,NY,http://www.ideeli.com,77700000.0,1,"A members-only retail site offering a curated selection of apparel, accessories, shoes, and home and travel items. Each sale starts at noon EST and lasts 40 hours. The shopping site has more than 4 million members.",ideeli
Greenville,3121,9,12,Consumer Products & Services,73,191737.0,2005,SC,http://www.SouthernTide.com,6200000.0,6,Designs and sells men's sportswear through more than 425 retailers as well as its online store.,Southern Tide
Clearwater,3159,48,53,Software,71,210550.0,2005,FL,http://www.AutoLoop.us,6900000.0,10,"Makes software for the auto industry that features vehicle service scheduling, automated notifications, loyalty programs, customer data management, and electronic service menus.",AutoLoop
Baltimore,3080,126,162,Advertising & Marketing,74,1500000.0,2006,MD,http://www.MillennialMedia.com,47800000.0,8,"Specializes in mobile advertising, helping publishers and developers to maximize ad revenue, mobile operators to further monetize their networks, and advertisers to reach mobile consumers. In February 2010, Millennial Media acquired San Francisco-based TapMetrics, a mobile analytics firm focused on application usage and behavior.",Millennial Media
Fort Collins,3179,240,270,Consumer Products & Services,70,5100000.0,1998,CO,http://www.OtterBox.com,168900000.0,5,Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,OtterBox
King Of Prussia,3213,58,70,Software,67,296258.0,2006,PA,http://www.NextDocs.com,9800000.0,9,"Customizes and extends the functionality of Microsoft SharePoint 2010 software for clients in highly regulated industries. Businesses also use its products and services for centralized and consolidated tracking, workflow management, and reporting for critical business processes.",NextDocs
Rowlett,3224,14,20,Telecommunications,66,4100000.0,1994,TX,http://www.LinkAM.com,136300000.0,3,"Serves the telecommunications industry with equipment, warehouse management services and logistics, engineering, and integration services. It also offers professional radio frequency design, tower construction, and engineering integration for wireless communication networks across the Americas. Link America is an innovator in deploying advanced services in the 4.9 GHz licensed wireless spectrum for government and nongovernment public safety networks (police, fire, search and rescue, EMS, municipalities, and utilities).",Link America
